,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,['ASTORE'],['NIKE'],0.022727273,0.375,0.022727273,1,2.666666667,0.014204545,inf
1,['ASTORE'],['OUTFITTER'],0.022727273,0.477272727,0.022727273,1,2.095238095,0.011880165,inf
2,['ASTORE'],['SILKAVENUE'],0.022727273,0.079545455,0.022727273,1,12.57142857,0.020919421,inf
3,['ASTORE'],['Junaid Jamshad'],0.022727273,0.079545455,0.011363636,0.5,6.285714286,0.009555785,1.840909091
4,['ASTORE'],['SOLOTO'],0.022727273,0.011363636,0.011363636,0.5,44,0.011105372,1.977272727
5,['SOLOTO'],['ASTORE'],0.011363636,0.022727273,0.011363636,1,44,0.011105372,inf
6,['BEECHTREE'],['BAREEZE'],0.034090909,0.113636364,0.022727273,0.666666667,5.866666667,0.018853306,2.659090909
7,['BATA'],['Junaid Jamshad'],0.170454545,0.409090909,0.090909091,0.533333333,1.303703704,0.021177686,1.266233766
8,['WARDA'],['BATA'],0.022727273,0.170454545,0.011363636,0.5,2.933333333,0.007489669,1.659090909
9,['BEECHTREE'],['METRO'],0.034090909,0.147727273,0.022727273,0.666666667,4.512820513,0.017691116,2.556818182
10,['KAYSERIA'],['BONANZA'],0.045454545,0.261363636,0.022727273,0.5,1.913043478,0.010847107,1.477272727
11,['CHENONE'],['BONANZA'],0.193181818,0.261363636,0.125,0.647058824,2.475703325,0.074509298,2.09280303
12,['LIMELIGHT'],['BONANZA'],0.056818182,0.261363636,0.034090909,0.6,2.295652174,0.019240702,1.846590909
13,['NISHATLINEN'],[' BORJAN'],0.079545455,0.272727273,0.045454545,0.571428571,2.095238095,0.023760331,1.696969697
14,['SOLOTO'],[' BORJAN'],0.022727273,0.272727273,0.011363636,0.5,1.833333333,0.005165289,1.454545455
15,['Junaid Jamshad'],[' BORJAN'],0.079545455,0.272727273,0.045454545,0.571428571,2.095238095,0.023760331,1.696969697
16,['BEECHTREE'],['GULAHMED'],0.034090909,0.193181818,0.022727273,0.666666667,3.450980392,0.016141529,2.420454545
17,['HUSHPUPPIES'],['OUTFITTER'],0.170454545,0.477272727,0.102272727,0.6,1.257142857,0.020919421,1.306818182
18,['Junaid Jamshad'],['HUSHPUPPIES'],0.079545455,0.170454545,0.045454545,0.571428571,3.352380952,0.031895661,1.935606061
19,['SOLOTO'],['Junaid Jamshad'],0.022727273,0.409090909,0.011363636,0.5,1.222222222,0.002066116,1.181818182
20,['BONANZA'],['Junaid Jamshad'],0.170454545,0.409090909,0.125,0.733333333,1.792592593,0.055268595,2.215909091
21,['KHAADI'],['Junaid Jamshad'],0.272727273,0.409090909,0.136363636,0.5,1.222222222,0.024793388,1.181818182
22,['WARDA'],['Junaid Jamshad'],0.022727273,0.409090909,0.022727273,1,2.444444444,0.013429752,inf
23,['KHAADI'],['LIMELIGHT'],0.090909091,0.125,0.045454545,0.5,4,0.034090909,1.75
24,['KHAADI'],['CHENONE'],0.090909091,0.193181818,0.090909091,1,5.176470588,0.073347107,inf
25,['BEECHTREE'],['MARIA.B'],0.034090909,0.136363636,0.022727273,0.666666667,4.888888889,0.018078512,2.590909091
26,['METRO'],['OUTFITTER'],0.147727273,0.477272727,0.079545455,0.538461538,1.128205128,0.009039256,1.132575758
27,['NDURE'],['NIKE'],0.25,0.375,0.125,0.5,1.333333333,0.03125,1.25
28,['NDURE'],['OUTFITTER'],0.25,0.477272727,0.125,0.5,1.047619048,0.005681818,1.045454545
29,['BATA'],['NDURE'],0.022727273,0.25,0.011363636,0.5,2,0.005681818,1.5
30,['GULAHMED'],['NDURE'],0.102272727,0.25,0.056818182,0.555555556,2.222222222,0.03125,1.6875
31,['LIMELIGHT'],['NDURE'],0.056818182,0.25,0.034090909,0.6,2.4,0.019886364,1.875
32,['NIKE'],['OUTFITTER'],0.375,0.477272727,0.227272727,0.606060606,1.26984127,0.048295455,1.326923077
